Date,Hour,EnergyUsage(TWh),Country_x,EnergyGeneration(TWh),Country_y,Country
2022-07-31,0:00,0.0007562784808482,Serbia,0.0020087185194111,Serbia,Serbia
2022-07-31,1:00,0.0007430421843807,Serbia,0.0024213228846746,Serbia,Serbia
2022-07-31,2:00,0.000737499122567,Serbia,0.0027835204516845,Serbia,Serbia
2022-07-31,3:00,0.0007270728536632,Serbia,0.003192950961515,Serbia,Serbia
2022-07-31,4:00,0.0007554135815045,Serbia,0.0035947896752504,Serbia,Serbia
2022-07-31,5:00,0.000883493594084,Serbia,0.0040424381099376,Serbia,Serbia
2022-07-31,6:00,0.0010398648977386,Serbia,0.0039585622443196,Serbia,Serbia
2022-07-31,7:00,0.001180912900659,Serbia,0.0038784426581851,Serbia,Serbia
2022-07-31,8:00,0.0013435786878071,Serbia,0.0036093792066747,Serbia,Serbia
2022-07-31,9:00,0.0014858460975979,Serbia,0.0,Serbia,Serbia
2022-07-31,10:00,0.0007375195782582,Serbia,0.0,Serbia,Serbia
2022-07-31,11:00,0.0007533527346998,Serbia,0.0,Serbia,Serbia
2022-07-31,12:00,0.0007493024185868,Serbia,0.0,Serbia,Serbia
2022-07-31,13:00,0.0007465569319885,Serbia,0.0,Serbia,Serbia
2022-07-31,14:00,0.0007309670586214,Serbia,0.0,Serbia,Serbia
2022-07-31,15:00,0.0008969268685542,Serbia,0.0037985117394024,Serbia,Serbia
2022-07-31,16:00,0.001051153215543,Serbia,0.0040068719002613,Serbia,Serbia
2022-07-31,17:00,0.0012052093494343,Serbia,0.0040453805668067,Serbia,Serbia
2022-07-31,18:00,0.0013368592190365,Serbia,0.0038980407515089,Serbia,Serbia
2022-07-31,19:00,0.0014833097621434,Serbia,0.0035600420119459,Serbia,Serbia
2022-07-31,20:00,0.0007448733148217,Serbia,0.0033528794751006,Serbia,Serbia
2022-07-31,21:00,0.0007341304254104,Serbia,0.003278511054188,Serbia,Serbia
2022-07-31,22:00,0.0007444827108471,Serbia,0.0027828759628304,Serbia,Serbia
2022-07-31,23:00,0.0007434593879155,Serbia,0.0024166415323026,Serbia,Serbia
