Date,Hour,EnergyUsage(TWh),EnergyGeneration(TWh),Country
2020-10-26,0:00,0.0007285982261943,0.0021040093293347,Serbia
2020-10-26,1:00,0.000737243221867,0.0025833634843437,Serbia
2020-10-26,2:00,0.0007368726082865,0.0029480636926844,Serbia
2020-10-26,3:00,0.0007262451092221,0.0034151031382252,Serbia
2020-10-26,4:00,0.0007220481367342,0.0038784213729359,Serbia
2020-10-26,5:00,0.000872235123944,0.0042913303603891,Serbia
2020-10-26,6:00,0.0010121609555698,0.0041857248056783,Serbia
2020-10-26,7:00,0.0011769413158139,0.0039535083813283,Serbia
2020-10-26,8:00,0.0013203559288211,0.003864902889877,Serbia
2020-10-26,9:00,0.0014689452400389,0.0,Serbia
2020-10-26,10:00,0.0007189251090113,0.0,Serbia
2020-10-26,11:00,0.0007197996541102,0.0,Serbia
2020-10-26,12:00,0.0007293057171204,0.0,Serbia
2020-10-26,13:00,0.000717264347223,0.0,Serbia
2020-10-26,14:00,0.0007390375347074,0.0,Serbia
2020-10-26,15:00,0.0008850129590706,0.0040255322473385,Serbia
2020-10-26,16:00,0.0010387699699709,0.0041847485075383,Serbia
2020-10-26,17:00,0.0011575805461981,0.0042425693216133,Serbia
2020-10-26,18:00,0.0013264404743212,0.0039851110080857,Serbia
2020-10-26,19:00,0.0014745608665234,0.0037525913399471,Serbia
2020-10-26,20:00,0.0007432914861143,0.0035819490118861,Serbia
2020-10-26,21:00,0.0007398805528426,0.003457162466912,Serbia
2020-10-26,22:00,0.0007293695148133,0.0029597569157373,Serbia
2020-10-26,23:00,0.0007358594816261,0.0025657795297956,Serbia
