Date,Hour,EnergyUsage(TWh),EnergyGeneration(TWh),Country
2020-01-13,0:00,0.0007367056993467,0.0021389803660841,Serbia
2020-01-13,1:00,0.0007406037204086,0.0025238751825981,Serbia
2020-01-13,2:00,0.000717827624759,0.0029182652243822,Serbia
2020-01-13,3:00,0.0007413689848906,0.003382304560122,Serbia
2020-01-13,4:00,0.0007375776679599,0.0037512001570804,Serbia
2020-01-13,5:00,0.0008886040741909,0.0041560564737869,Serbia
2020-01-13,6:00,0.0010277911655505,0.0041729816673302,Serbia
2020-01-13,7:00,0.0011734774891326,0.004074700764842,Serbia
2020-01-13,8:00,0.001324702771509,0.0037714964594638,Serbia
2020-01-13,9:00,0.0014812517578291,0.0,Serbia
2020-01-13,10:00,0.000738466436277,0.0,Serbia
2020-01-13,11:00,0.0007156070329588,0.0,Serbia
2020-01-13,12:00,0.0007400816049992,0.0,Serbia
2020-01-13,13:00,0.0007148717233531,0.0,Serbia
2020-01-13,14:00,0.0007352368361733,0.0,Serbia
2020-01-13,15:00,0.0008638027287771,0.0039897853806475,Serbia
2020-01-13,16:00,0.0010081249548045,0.0042892215376958,Serbia
2020-01-13,17:00,0.0011596812228681,0.0042536776013142,Serbia
2020-01-13,18:00,0.0013230744338344,0.0039714198180332,Serbia
2020-01-13,19:00,0.001467537890419,0.0037411429232452,Serbia
2020-01-13,20:00,0.0007242163824927,0.0036323328631565,Serbia
2020-01-13,21:00,0.0007362111393596,0.0033351245173027,Serbia
2020-01-13,22:00,0.0007245394265531,0.0029540819935351,Serbia
2020-01-13,23:00,0.0007353813116981,0.0024968318749727,Serbia
