Date,Hour,EnergyUsage(TWh),Country_x,EnergyGeneration(TWh),Country_y,Country
2021-08-20,0:00,0.0007598630829817,Serbia,0.0021450821971623,Serbia,Serbia
2021-08-20,1:00,0.0007808139124173,Serbia,0.0025977411687486,Serbia,Serbia
2021-08-20,2:00,0.000770052251525,Serbia,0.0030478076489578,Serbia,Serbia
2021-08-20,3:00,0.0007582502618258,Serbia,0.0034265179371455,Serbia,Serbia
2021-08-20,4:00,0.0007769361377691,Serbia,0.003862941863401,Serbia,Serbia
2021-08-20,5:00,0.0009183016690125,Serbia,0.0042468708351372,Serbia,Serbia
2021-08-20,6:00,0.0010674662502174,Serbia,0.0043142281636109,Serbia,Serbia
2021-08-20,7:00,0.0012348081071435,Serbia,0.0040214971861088,Serbia,Serbia
2021-08-20,8:00,0.0013767989461421,Serbia,0.0037905338020726,Serbia,Serbia
2021-08-20,9:00,0.0015173397990726,Serbia,0.0,Serbia,Serbia
2021-08-20,10:00,0.0007782209958978,Serbia,0.0,Serbia,Serbia
2021-08-20,11:00,0.0007621994385082,Serbia,0.0,Serbia,Serbia
2021-08-20,12:00,0.0007606837551997,Serbia,0.0,Serbia,Serbia
2021-08-20,13:00,0.0007658875037252,Serbia,0.0,Serbia,Serbia
2021-08-20,14:00,0.0007747936821052,Serbia,0.0,Serbia,Serbia
2021-08-20,15:00,0.0009167165835035,Serbia,0.0041471232283128,Serbia,Serbia
2021-08-20,16:00,0.0011000984680434,Serbia,0.0043360982319722,Serbia,Serbia
2021-08-20,17:00,0.0012452684100082,Serbia,0.0043540216040478,Serbia,Serbia
2021-08-20,18:00,0.001394137539781,Serbia,0.0041031926933999,Serbia,Serbia
2021-08-20,19:00,0.0015173874071562,Serbia,0.0037922403542742,Serbia,Serbia
2021-08-20,20:00,0.0007571596479699,Serbia,0.0037004066024309,Serbia,Serbia
2021-08-20,21:00,0.0007572477400468,Serbia,0.0034887529778341,Serbia,Serbia
2021-08-20,22:00,0.0007709285373882,Serbia,0.0030055189767527,Serbia,Serbia
2021-08-20,23:00,0.000762493753837,Serbia,0.0025725819091872,Serbia,Serbia
