Date,Hour,EnergyUsage(TWh),EnergyGeneration(TWh),Country
2020-11-07,0:00,0.0007179484935513,0.002098331038799,Serbia
2020-11-07,1:00,0.0007267537176114,0.0025500470366651,Serbia
2020-11-07,2:00,0.0007236457606094,0.0029653546439126,Serbia
2020-11-07,3:00,0.0007378004161772,0.0034218909274344,Serbia
2020-11-07,4:00,0.0007363978902158,0.0037574857641639,Serbia
2020-11-07,5:00,0.0008796319076352,0.0043173382144248,Serbia
2020-11-07,6:00,0.0010347143546036,0.0041868765237111,Serbia
2020-11-07,7:00,0.0011697781553138,0.0040459683253124,Serbia
2020-11-07,8:00,0.0013314155964075,0.0037838343266405,Serbia
2020-11-07,9:00,0.0014794308661307,0.0,Serbia
2020-11-07,10:00,0.0007247866128972,0.0,Serbia
2020-11-07,11:00,0.0007345361150313,0.0,Serbia
2020-11-07,12:00,0.0007263551802434,0.0,Serbia
2020-11-07,13:00,0.0007282199234115,0.0,Serbia
2020-11-07,14:00,0.0007389662481528,0.0,Serbia
2020-11-07,15:00,0.000862422761725,0.0040325705632935,Serbia
2020-11-07,16:00,0.0010342484168854,0.0043175671550055,Serbia
2020-11-07,17:00,0.0011889698164603,0.0041590746641939,Serbia
2020-11-07,18:00,0.0012955087311812,0.0040947432437265,Serbia
2020-11-07,19:00,0.0014477252847643,0.0038382254946766,Serbia
2020-11-07,20:00,0.0007382491667579,0.0035940229841468,Serbia
2020-11-07,21:00,0.0007181417690733,0.0033920479865554,Serbia
2020-11-07,22:00,0.0007377744782954,0.0029381602598212,Serbia
2020-11-07,23:00,0.0007433224170097,0.0025583498120429,Serbia
