Date,Hour,EnergyUsage(TWh),EnergyGeneration(TWh),Country
2020-11-20,0:00,0.0007288775159063,0.0021482636231115,Serbia
2020-11-20,1:00,0.0007374819351455,0.0025911980109751,Serbia
2020-11-20,2:00,0.0007245734553048,0.0029123158732993,Serbia
2020-11-20,3:00,0.0007322644355519,0.0034339973403871,Serbia
2020-11-20,4:00,0.0007233507655058,0.0037671536895664,Serbia
2020-11-20,5:00,0.000891565693617,0.0042518013622087,Serbia
2020-11-20,6:00,0.0010213194377071,0.0041652383330509,Serbia
2020-11-20,7:00,0.0011617756906582,0.0039763432964623,Serbia
2020-11-20,8:00,0.0013354575680929,0.0037951605251372,Serbia
2020-11-20,9:00,0.0014354677411269,0.0,Serbia
2020-11-20,10:00,0.0007345500052849,0.0,Serbia
2020-11-20,11:00,0.0007191689057561,0.0,Serbia
2020-11-20,12:00,0.0007392255318683,0.0,Serbia
2020-11-20,13:00,0.0007386784511387,0.0,Serbia
2020-11-20,14:00,0.0007406915015067,0.0,Serbia
2020-11-20,15:00,0.0008844450293158,0.003946169561412,Serbia
2020-11-20,16:00,0.0010067036618369,0.0043203312259804,Serbia
2020-11-20,17:00,0.0011796299709534,0.0042353575357597,Serbia
2020-11-20,18:00,0.0013259140625552,0.0040072485389087,Serbia
2020-11-20,19:00,0.001454091253706,0.0038265679978699,Serbia
2020-11-20,20:00,0.0007359086730394,0.0036247016006585,Serbia
2020-11-20,21:00,0.0007359761927025,0.0033655930726811,Serbia
2020-11-20,22:00,0.0007316969386974,0.002997231443767,Serbia
2020-11-20,23:00,0.0007379296631668,0.0025658555276384,Serbia
