Date,Hour,EnergyUsage(TWh),Country_x,EnergyGeneration(TWh),Country_y,Country
2022-10-26,0:00,0.0007515359367516,Serbia,0.0020141371682685,Serbia,Serbia
2022-10-26,1:00,0.0007429656873728,Serbia,0.0023784760925071,Serbia,Serbia
2022-10-26,2:00,0.0007382074228946,Serbia,0.0028170004344329,Serbia,Serbia
2022-10-26,3:00,0.0007450588603541,Serbia,0.0032808780149906,Serbia,Serbia
2022-10-26,4:00,0.0007421101756114,Serbia,0.0035536883450944,Serbia,Serbia
2022-10-26,5:00,0.0008963574045807,Serbia,0.0040342797882982,Serbia,Serbia
2022-10-26,6:00,0.0010500246148516,Serbia,0.003956694125246,Serbia,Serbia
2022-10-26,7:00,0.001171392409888,Serbia,0.0038676606887181,Serbia,Serbia
2022-10-26,8:00,0.001351900165537,Serbia,0.0036609748012142,Serbia,Serbia
2022-10-26,9:00,0.0015004649710718,Serbia,0.0,Serbia,Serbia
2022-10-26,10:00,0.0007378875531455,Serbia,0.0,Serbia,Serbia
2022-10-26,11:00,0.0007434122964385,Serbia,0.0,Serbia,Serbia
2022-10-26,12:00,0.0007389988474295,Serbia,0.0,Serbia,Serbia
2022-10-26,13:00,0.0007365259772452,Serbia,0.0,Serbia,Serbia
2022-10-26,14:00,0.0007340963670043,Serbia,0.0,Serbia,Serbia
2022-10-26,15:00,0.0008779234072946,Serbia,0.0038671289797334,Serbia,Serbia
2022-10-26,16:00,0.0010393595021745,Serbia,0.003983263943795,Serbia,Serbia
2022-10-26,17:00,0.0011725904441109,Serbia,0.0039538737221126,Serbia,Serbia
2022-10-26,18:00,0.0013454456406236,Serbia,0.0038573455370432,Serbia,Serbia
2022-10-26,19:00,0.0014903141074815,Serbia,0.0036894984907955,Serbia,Serbia
2022-10-26,20:00,0.0007459289013572,Serbia,0.0033632212617688,Serbia,Serbia
2022-10-26,21:00,0.0007468606354583,Serbia,0.0031802936484226,Serbia,Serbia
2022-10-26,22:00,0.000758034705333,Serbia,0.0027840089721865,Serbia,Serbia
2022-10-26,23:00,0.0007537093427012,Serbia,0.0023983735408237,Serbia,Serbia
